ID, t, t0_num, t1_num,f_0,f_1, dfdt(MHz/s), v_b(c)
             0,08:15:39,19095.34420680918,19095.344069810635,25.048828125,52.81982421875,2.7585856278435634,0.06692965033330323
                     1,08:23:52,19095.349909342058,19095.349855468157,33.5205078125,57.77587890625,6.023417283621431,0.10947657818120468
                     2,09:49:14,19095.409199071208,19095.409162284006,38.22021484375,50.86669921875,4.187391473556494,0.08371848954523521
                     3,09:54:49,19095.413071126975,19095.412927356516,25.048828125,79.82177734375,4.533983115519101,0.08815345532801296
                     4,09:55:25,19095.413489641207,19095.413382432438,25.048828125,78.125,5.858036720406576,0.11669736194927532
                     5,10:30:08,19095.437603290422,19095.437799802196,30.26123046875,88.56201171875,57.9120970508883,-0.05438955375933223
                     6,10:30:21,19095.437751713383,19095.437733035047,42.00439453125,70.166015625,27.97387100008361,0.26030855836889827
                     7,12:49:05,19095.53408753617,19095.53394555833,33.26416015625,82.421875,4.439090676491695,0.06272428788036251
                     8,12:49:09,19095.534141394255,19095.534067756922,25.048828125,34.70458984375,1.598564988215824,0.06176592824673341
                     9,12:49:42,19095.534519747136,19095.534460469582,34.1796875,56.99462890625,5.665710570250858,0.09320990595135091
                     10,13:07:06,19095.546608788376,19095.54659413087,56.0791015625,76.171875,19.958823598863326,0.17631711971721686
                     11,13:07:45,19095.547054355295,19095.54686735889,54.1259765625,79.296875,1.6668728220991296,0.017233208295150588
                     12,13:14:03,19095.551430704916,19095.55136088938,27.2705078125,50.6103515625,3.8640407806177692,0.10714017263847402
                     13,13:24:23,19095.55860571823,19095.558579295415,48.13232421875,60.9130859375,12.69555790280067,0.08417706139420994
                     14,13:24:37,19095.558770903244,19095.558721119876,46.435546875,73.81591796875,6.799458966866064,0.08413517326323754
                     15,13:27:48,19095.560982929368,19095.56085641427,58.30078125,72.7783203125,1.3073656302168497,0.014808137024988295
                     16,13:29:21,19095.56205996144,19095.562023632476,43.17626953125,55.2978515625,4.013590476101929,0.06865279674617901
                     17,13:29:30,19095.56216216607,19095.562053724956,33.3984375,63.00048828125,2.673154926866739,0.06186970660420893
                     18,13:31:21,19095.563444535394,19095.563221270648,29.47998046875,55.95703125,1.7533691324602387,0.03281090417205724
                     19,13:31:32,19095.56356745389,19095.563484437032,50.341796875,59.21630859375,1.4692247110403338,0.018363492344463567
                     20,13:31:45,19095.563722428626,19095.563608703895,39.00146484375,49.0478515625,1.108823417869046,0.02181580798674385
                     21,13:57:20,19095.581490316017,19095.581411970023,28.0517578125,65.6005859375,5.32835756929034,0.12035488016909784
                     22,13:57:37,19095.58168187478,19095.581578963374,28.564453125,73.69384765625,4.980947965810283,0.0983000947198552
                     23,13:58:03,19095.581988339676,19095.58192204418,40.83251953125,71.47216796875,6.087077047977248,0.08036067606054222
                     24,13:58:27,19095.582261845415,19095.582156959208,25.439453125,76.171875,7.199172320536623,0.11517070679680078
                     25,13:58:48,19095.582508534404,19095.58243570799,28.173828125,61.3037109375,8.227254407523182,0.1206485991156503
                     26,14:01:45,19095.584549029372,19095.584456291203,28.173828125,59.60693359375,4.460507393017759,0.09207557309990103
                     27,14:02:01,19095.584734455766,19095.584648790227,26.611328125,58.43505859375,5.268595353070357,0.10731717114375651
                     28,15:09:45,19095.631774267982,19095.631736943877,52.9541015625,79.296875,8.722384942022119,0.09191046964967146
                     
