ID, t, t0_num, t1_num,f_0,f_1, dfdt(MHz/s), v_b(c)
             0,22-07-01 07:00:44,19174.292179875498,19174.292124824828,43.695068359375,78.460693359375,7.674741982307031,0.096379138317967
             1,22-07-01 07:00:48,19174.292223891716,19174.29220560653,34.515380859375,39.007568359375,2.975110620445572,0.08115769922413753
             2,22-07-01 07:01:06,19174.292437885462,19174.292392576062,45.257568359375,63.812255859375,5.266406980235917,0.07206429257757598
             3,22-07-01 07:01:29,19174.292697863893,19174.29265067012,50.921630859375,75.531005859375,6.984918731681321,0.072819620869314
             4,22-07-01 07:01:47,19174.292906129256,19174.292892485842,46.331787109375,52.874755859375,6.500027449834084,0.09669572497129394
             5,22-07-01 07:01:56,19174.293009837882,19174.29291291366,40.277099609375,81.976318359375,5.1780388946954945,0.06748060460546047
             6,22-07-01 07:02:03,19174.2930920359,19174.293062823,61.077880859375,81.683349609375,10.234710376026072,0.08032304818061801
             7,22-07-01 07:02:25,19174.293354839087,19174.293331128796,64.984130859375,77.093505859375,6.014770470812819,0.0580255674851099
             8,22-07-01 07:02:36,19174.29347734413,19174.29341793348,50.140380859375,74.163818359375,4.773040319197702,0.05801056836080096
             9,22-07-01 07:02:42,19174.2935510894,19174.293542824318,75.042724609375,81.683349609375,13.193735382064718,0.07813936886860451
             10,22-07-01 07:03:01,19174.29376303454,19174.29373857653,58.636474609375,79.534912109375,10.380088216074746,0.1025610167678984
             11,22-07-01 07:03:37,19174.294184386268,19174.293970283285,46.624755859375,77.581787109375,2.562752347234307,0.02116833251341392
             12,22-07-01 07:03:46,19174.294288649366,19174.294176115938,34.808349609375,79.632568359375,5.238697131459521,0.07171371339380768
             13,22-07-01 07:04:00,19174.29445288153,19174.29441450704,46.429443359375,65.570068359375,6.33827980762717,0.08409864875487218
             14,22-07-01 07:04:19,19174.294672893066,19174.294588863104,47.406005859375,74.652099609375,3.866664376824207,0.04835304112934063
             15,22-07-01 07:05:06,19174.295210548196,19174.295114836503,30.316162109375,79.534912109375,6.111803890221156,0.10315921073020777
             16,22-07-01 07:05:14,19174.29530593244,19174.295285066943,55.511474609375,74.554443359375,12.611209905870554,0.12037719469735146
             17,22-07-01 07:05:32,19174.295509710882,19174.29540953166,35.882568359375,81.878662109375,6.092400323600325,0.07886811310502398
             18,22-07-01 07:05:46,19174.295675632093,19174.29555575006,30.023193359375,86.859130859375,5.94330804362358,0.08889826506573147
             19,22-07-01 07:06:03,19174.295875214895,19174.295787919953,40.277099609375,75.921630859375,5.058512791398246,0.06825671044671161
             20,22-07-01 07:06:24,19174.296114947523,19174.296076023253,42.132568359375,67.620849609375,8.43995991750219,0.11628921098491166
             21,22-07-01 07:06:58,19174.296509846292,19174.296450397425,41.058349609375,77.679443359375,8.084396680186714,0.09952635660975563
             22,22-07-01 07:07:13,19174.2966796071,19174.29666210615,58.929443359375,75.726318359375,11.123933003086403,0.11932434238476355
             23,22-07-01 07:07:24,19174.29681579369,19174.29680388829,68.206787109375,77.386474609375,18.236451447722978,0.08413667645674451
             24,22-07-01 07:07:36,19174.296955700465,19174.29690403853,46.331787109375,72.308349609375,7.372973061205015,0.07836882600938044
             25,22-07-01 07:07:44,19174.297037594613,19174.297001669507,35.980224609375,76.800537109375,11.586095356519017,0.20551624266879492
             26,22-07-01 07:08:16,19174.297410777537,19174.29737911616,53.265380859375,57.659912109375,2.1828160710024744,0.023281846302849248
             27,22-07-01 07:08:32,19174.297595030508,19174.297576513818,56.781005859375,65.374755859375,5.691415262851447,0.06682560578627827
             28,22-07-01 07:08:43,19174.29773015792,19174.297680268133,47.210693359375,73.968505859375,10.632611793922198,0.08084782239846665
             29,22-07-01 07:09:10,19174.29804114763,19174.298018902897,55.804443359375,67.816162109375,7.955046333303727,0.07653685138209705
             30,22-07-01 07:09:59,19174.298610870057,19174.29858970491,58.734130859375,72.503662109375,6.839377167670643,0.08395305477555624
             31,22-07-01 07:10:49,19174.2991866526,19174.299097699994,30.023193359375,79.339599609375,6.123905148715901,0.11228897917493148
             32,22-07-01 07:11:04,19174.299354502833,19174.29926575922,31.585693359375,68.792724609375,5.280260764148447,0.0921624070922154
             33,22-07-01 07:11:21,19174.299548865554,19174.299468935544,31.976318359375,79.925537109375,7.328209789809829,0.11500316012694367
             34,22-07-01 07:11:34,19174.29970016347,19174.29962654608,33.441162109375,77.972412109375,8.847657658013983,0.1143698429105568
             35,22-07-01 07:11:45,19174.299827513067,19174.29977191548,40.081787109375,73.089599609375,7.286736207741626,0.10282211049905196
             36,22-07-01 07:11:47,19174.29985748423,19174.29983073853,57.366943359375,71.038818359375,6.790803093097868,0.06830063205737778
             37,22-07-01 07:12:01,19174.300012556498,19174.29998910318,50.921630859375,65.277099609375,7.130437871924682,0.09622793258722372
             38,22-07-01 07:12:34,19174.30040288532,19174.30036132813,47.308349609375,71.331787109375,6.818662850246395,0.0896200355699266
             39,22-07-01 07:12:51,19174.30059070495,19174.300478681354,31.097412109375,82.171630859375,5.969175563257966,0.08723126183627515
             40,22-07-01 07:12:53,19174.30062194669,19174.300578227525,50.628662109375,80.120849609375,8.370895213446543,0.09021498701511259
             41,22-07-01 07:13:03,19174.30073685217,19174.300689892316,45.843505859375,75.628662109375,9.862963949827792,0.09608228718130336
             42,22-07-01 07:13:11,19174.300822167865,19174.300776274482,50.921630859375,73.187255859375,7.372953656886515,0.06950478862536269
             43,22-07-01 07:13:43,19174.301200956575,19174.301095896153,32.073974609375,81.390380859375,6.123930485241437,0.08840632525809466
